Time,Step,Training loss,Validation loss,Full Validation loss
22:26:57,395,0.0268,-,-
22:26:57,394,1.3432,-,-
22:26:57,393,0.0321,-,-
22:26:57,392,1.3875,-,-
22:26:54,391,1.7507,-,-
22:26:53,390,1.1430,-,-
22:26:52,389,1.0266,-,-
22:26:48,388,1.2340,-,-
22:26:48,387,1.0752,-,-
22:26:48,386,1.4084,-,-
22:26:48,385,1.0814,-,-
22:26:44,384,1.5392,-,-
22:26:44,383,1.3390,-,-
22:26:44,382,1.5302,-,-
22:26:43,381,1.0889,-,-
22:26:39,380,0.0186,-,-
22:26:39,379,0.0036,-,-
22:26:39,378,1.2540,-,-
22:26:39,377,0.0010,-,-
22:26:39,376,1.2183,-,-
22:26:39,375,1.1204,-,-
22:26:35,374,0.9568,-,-
22:26:35,373,1.1483,-,-
22:26:35,372,1.3854,-,-
22:26:35,371,1.2671,-,-
22:26:33,370,1.4705,-,-
22:26:28,369,0.0826,-,-
22:26:28,368,0.0011,-,-
22:26:28,367,1.0468,-,-
22:26:27,366,1.3909,-,-
22:26:23,365,0.2080,-,-
